Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    41444	     	    43723	     	      943
        0	     	        0	     	    41299	     	    43430	     	      978
        0	     	        0	     	    41665	     	    43864	     	      989
        0	     	        0	     	    41429	     	    43864	     	      932
        0	     	        0	     	    41641	     	    43544	     	      951
        0	     	        0	     	    41541	     	    44233	     	      997
        0	     	        0	     	    41606	     	    43763	     	      933
        0	     	        0	     	    41375	     	    43759	     	      979
        0	     	        0	     	    41537	     	    43610	     	      931
        0	     	        0	     	    41145	     	    43837	     	      949
        0	     	        0	     	    41265	     	    43972	     	      919
        0	     	        0	     	    41741	     	    43694	     	      985
        0	     	        0	     	    41826	     	    43747	     	      958
Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    41401	     	    45162	     	     1346
        0	     	        0	     	    41261	     	    45012	     	     1384
        0	     	        0	     	    41470	     	    45484	     	     1401
        0	     	        0	     	    41262	     	    45202	     	     1395
        0	     	        0	     	    40928	     	    45507	     	     1485
        0	     	        0	     	    41114	     	    45737	     	     1473
        0	     	        0	     	    41264	     	    45908	     	     1675
        0	     	        0	     	    41371	     	    46964	     	     1841
        0	     	        0	     	    41154	     	    46704	     	     1966
        0	     	        0	     	    41236	     	    46804	     	     2130
        0	     	        0	     	    41373	     	    47678	     	     2479
        0	     	        0	     	    41131	     	    47730	     	     2591
        0	     	        0	     	    41181	     	    47827	     	     2800
        0	     	        0	     	    41437	     	    48662	     	     3107
        0	     	        0	     	    41510	     	    48579	     	     3257
        0	     	        0	     	    41088	     	    48583	     	     3140
        0	     	        0	     	    41224	     	    48417	     	     3153
        0	     	        0	     	    41170	     	    48809	     	     3197
        0	     	        0	     	    41186	     	    48547	     	     3141
        0	     	        0	     	    41681	     	    48471	     	     3263
        0	     	        0	     	    40856	     	    48158	     	     3144
        0	     	        0	     	    41094	     	    48180	     	     3169
        0	     	        0	     	    41442	     	    48636	     	     3347
        0	     	        0	     	    41545	     	    48569	     	     3266
        0	     	        0	     	    41200	     	    49410	     	     3636
        0	     	        0	     	    41440	     	    48888	     	     3604
        0	     	        0	     	    41359	     	    48948	     	     4054
        0	     	        0	     	    41667	     	    49226	     	     4091
        0	     	        0	     	    41592	     	    49606	     	     4545
        0	     	        0	     	    41506	     	    50114	     	     4590
        0	     	        0	     	    41382	     	    50186	     	     5133
        0	     	        0	     	    41839	     	    49898	     	     5403
        0	     	        0	     	    41225	     	    50772	     	     5735
        0	     	        0	     	    41659	     	    50817	     	     5894
        0	     	        0	     	    41462	     	    50756	     	     5970
        0	     	        0	     	    41486	     	    50750	     	     6193
        0	     	        0	     	    41347	     	    50750	     	     6184
        0	     	        0	     	    41352	     	    50960	     	     6404
        0	     	        0	     	    41247	     	    50620	     	     6868
        0	     	        0	     	    41241	     	    50909	     	     6775
        0	     	        0	     	    41327	     	    51076	     	     7143
        0	     	        0	     	    41118	     	    50893	     	     7205
        0	     	        0	     	    41449	     	    51083	     	     7192
        0	     	        0	     	    41292	     	    50864	     	     7371
        0	     	        0	     	    41383	     	    50701	     	     7461
        0	     	        0	     	    41250	     	    50878	     	     7403
        0	     	        0	     	    41180	     	    50631	     	     7445
        0	     	        0	     	    41746	     	    51183	     	     7624
        0	     	        0	     	    41345	     	    50020	     	     7520
        0	     	        0	     	    41327	     	    50653	     	     7473
        0	     	        0	     	    41478	     	    50378	     	     7363
        0	     	        0	     	    41234	     	    49894	     	     7244
        0	     	        0	     	    41556	     	    49789	     	     6988
        0	     	        0	     	    41030	     	    49394	     	     6609
        0	     	        0	     	    40962	     	    48925	     	     6167
        0	     	        0	     	    40798	     	    48817	     	     6214
        0	     	        0	     	    41531	     	    49690	     	     6631
        0	     	        0	     	    41966	     	    50458	     	     7309
        0	     	        0	     	    41509	     	    51014	     	     7197
        0	     	        0	     	    41571	     	    50330	     	     7271
        0	     	        0	     	    41437	     	    51036	     	     7374
        0	     	        0	     	    41403	     	    50819	     	     7417
        0	     	        0	     	    41386	     	    51186	     	     7543
        0	     	        0	     	    41452	     	    50938	     	     7533
        0	     	        0	     	    41131	     	    50649	     	     7406
